time	V(vout)	V(n003)
3.855094367943579e-005	6.141070e+000	0.000000e+000
3.879521945121500e-005	5.848811e+000	0.000000e+000
3.896733095818428e-005	5.651521e+000	0.000000e+000
3.913944246515357e-005	5.460335e+000	0.000000e+000
3.931155397212286e-005	5.275254e+000	0.000000e+000
3.948366547909214e-005	5.096277e+000	0.000000e+000
3.965577698606143e-005	4.923404e+000	0.000000e+000
3.982788849303072e-005	4.756635e+000	0.000000e+000
4.000000000000000e-005	4.595971e+000	0.000000e+000
4.000018147447948e-005	4.595804e+000	9.073724e-001
4.000018370285639e-005	4.595802e+000	9.185143e-001
4.000018458699674e-005	4.595801e+000	9.229350e-001
4.000018545459346e-005	4.595800e+000	9.272730e-001
4.000018630937735e-005	4.595799e+000	9.315469e-001
4.000018712941913e-005	4.595798e+000	9.356471e-001
4.000018792855255e-005	4.595798e+000	9.396428e-001
4.000018870756102e-005	4.595797e+000	9.435378e-001
4.000018949136020e-005	4.595797e+000	9.474568e-001
4.000019030861410e-005	4.595796e+000	9.515431e-001
4.000019123191078e-005	4.595795e+000	9.561595e-001
4.000019244510329e-005	4.595794e+000	9.622255e-001
4.000019402431707e-005	4.595792e+000	9.701216e-001
4.000019592002729e-005	4.595790e+000	9.796001e-001
4.000019792437650e-005	4.595788e+000	9.896219e-001
4.000021756917523e-005	4.595771e+000	1.087846e+000
4.000100000000001e-005	4.595052e+000	5.000000e+000
4.003783360339712e-005	4.562021e+000	5.000000e+000
4.007466720679423e-005	4.529941e+000	5.000000e+000
4.011150081019133e-005	4.498812e+000	5.000000e+000
4.014833441358845e-005	4.468633e+000	5.000000e+000
4.018516801698556e-005	4.439405e+000	5.000000e+000
4.022200162038267e-005	4.411128e+000	5.000000e+000
4.025883522377978e-005	4.383801e+000	5.000000e+000
4.045414772377979e-005	4.253862e+000	5.000000e+000
4.074711647377979e-005	4.108379e+000	5.000000e+000
4.094242897377980e-005	4.043400e+000	5.000000e+000
4.113774147377981e-005	4.003183e+000	5.000000e+000
4.123539772377981e-005	3.992112e+000	5.000000e+000
4.133305397377981e-005	3.986928e+000	5.000000e+000
4.143071022377981e-005	3.987520e+000	5.000000e+000
4.152836647377982e-005	3.993778e+000	5.000000e+000
4.162602272377982e-005	4.005585e+000	5.000000e+000
4.172367897377982e-005	4.022823e+000	5.000000e+000
4.191899147377983e-005	4.073102e+000	5.000000e+000
4.211430397377983e-005	4.143615e+000	5.000000e+000
4.230961647377984e-005	4.233323e+000	5.000000e+000
4.250492897377984e-005	4.341152e+000	5.000000e+000
4.279789772377985e-005	4.534471e+000	5.000000e+000
4.309086647377986e-005	4.762300e+000	5.000000e+000
4.338383522377987e-005	5.020776e+000	5.000000e+000
4.367680397377988e-005	5.306002e+000	5.000000e+000
4.396977272377989e-005	5.614079e+000	5.000000e+000
4.426274147377989e-005	5.941138e+000	5.000000e+000
4.436820716745733e-005	6.063304e+000	5.002522e+000
4.447367286113477e-005	6.186795e+000	5.003886e+000
4.457913855481220e-005	6.311613e+000	5.004094e+000
4.468460424848964e-005	6.437758e+000	5.003144e+000
4.479006994216707e-005	6.565228e+000	5.001037e+000
4.489553563584451e-005	6.694025e+000	4.997773e+000
4.500100132952195e-005	6.824149e+000	4.993352e+000
4.500175059117432e-005	6.825075e+000	1.247044e+000
4.500179049658643e-005	6.825124e+000	1.047517e+000
4.500180047293946e-005	6.825136e+000	9.976353e-001
